pk,pk,strength
1018980,1020960,9618
1019016,1020960,486
1019016,1020960,2741
1019016,1020960,4078
1019120,1020960,151
1019120,1020960,486
1019120,1020960,2741
1019120,1020960,6543
1019183,1020960,151
1019183,1020960,486
1019183,1020960,2741
1019334,1020960,151
1019334,1020960,2741
1019541,1020960,151
1019541,1020960,486
1019541,1020960,2741
1020215,1020960,151
1020215,1020960,2161
1020215,1020960,2741
1020383,1020960,578
1020627,1020960,2741
1038768,1020960,2161
1038768,1020960,2741
1042028,1020960,486
1042028,1020960,2892
1042028,1020960,4962
1042098,1020960,151
1042098,1020960,2741
1047817,1020960,151
1047817,1020960,486
1047817,1020960,2741
1050956,1020960,486
1064235,1020960,151
1064235,1020960,2741
1018511,1020983,2678
1018511,1020983,10044
1019580,1020983,10044
1019602,1020983,2374
1019602,1020983,10044
1020477,1020983,10044
1020633,1020983,11232
1020851,1020983,10044
1020933,1020983,10044
1067955,1020983,2374
1067955,1020983,10044
1087976,1020983,12601
1020841,1021040,15219
1018688,1021266,6240
1018822,1021266,9162
1019395,1021266,5114
1020356,1021266,10897
1020820,1021266,7640
1018794,1024573,10683
1019535,1025410,12905
1019952,1025410,12905
1020805,1025410,12905
1019268,1029796,7853
1019848,1029796,7853
1061577,1029796,7853
1018927,1035537,2769
1018732,1038768,2161
1018732,1038768,2741
1018977,1038768,1706
1018977,1038768,2161
1018980,1038768,2161
1018980,1038768,2741
1019016,1038768,1280
1019016,1038768,2161
1019120,1038768,2161
1019120,1038768,2741
1019183,1038768,2161
1019183,1038768,2741
1019334,1038768,2741
1019541,1038768,2161
1019541,1038768,2741
1019847,1038768,2253
1020215,1038768,2161
1020215,1038768,2741
1020585,1038768,2161
1020627,1038768,1887
1020717,1038768,2161
1020960,1038768,2161
1020960,1038768,2741
1042028,1038768,2161
1042028,1038768,2892
1042098,1038768,2741
1047817,1038768,2161
1047817,1038768,2741
1069882,1041526,9253
1018732,1042028,2161
1018732,1042028,2892
1018973,1042028,486
1018977,1042028,486
1018977,1042028,2892
1018977,1042028,6908
1018980,1042028,486
1018980,1042028,2892
1018980,1042028,9618
1019016,1042028,486
1019016,1042028,2892
1019016,1042028,4962
1019120,1042028,486
1019120,1042028,2892
1019120,1042028,6543
1019183,1042028,486
1019183,1042028,2892
1019334,1042028,2892
1019541,1042028,486
1019541,1042028,2892
1020215,1042028,2161
1020215,1042028,2892
1020383,1042028,578
1020627,1042028,2892
1020960,1042028,486
1020960,1042028,2892
1020960,1042028,4962
1038768,1042028,2161
1038768,1042028,2892
1042098,1042028,2892
1047817,1042028,486
1047817,1042028,2892
1050956,1042028,486
1018695,1042098,151
1018695,1042098,2741
1018732,1042098,151
