pk,pk,strength
1018977,1138092,6908
1018980,1138092,151
1018980,1138092,486
1018980,1138092,2741
1018980,1138092,9618
1019016,1138092,486
1019016,1138092,2741
1019016,1138092,5235
1019120,1138092,151
1019120,1138092,486
1019120,1138092,2741
1019120,1138092,6543
1019183,1138092,151
1019183,1138092,486
1019183,1138092,2741
1019334,1138092,151
1019334,1138092,2741
1019541,1138092,151
1019541,1138092,486
1019541,1138092,2741
1020215,1138092,151
1020215,1138092,2161
1020215,1138092,2741
1020383,1138092,578
1038768,1138092,2161
1038768,1138092,2741
1042028,1138092,486
1042028,1138092,2892
1042028,1138092,5235
1042098,1138092,151
1042098,1138092,2741
1047817,1138092,151
1047817,1138092,486
1047817,1138092,2741
1050956,1138092,486
1064235,1138092,151
1064235,1138092,2741
1097986,1138092,151
1097986,1138092,486
1097986,1138092,2741
1097986,1138092,6515
1112521,1138092,486
1112521,1138092,2741
1112521,1138092,9100
1113636,1138092,151
1113636,1138092,2741
1134091,1138092,151
1155255,1138092,151
1041526,1139164,8432
1069882,1139164,9253
1125244,1139164,8644
1018511,1139836,10258
1019580,1139836,10258
1019602,1139836,10258
